,program,compile_time,model,num_trees,circuit_size,execution_time,proof_size,verification_time
3,bst1_10.zok,2.070608139038086,1,10,11422834,0.368374586105346,923,0.08175039291381801
7,bst1_20.zok,4.048503398895264,1,20,18360006,0.5113983154296871,923,0.07599997520446701
0,bst1_50.zok,11.193970441818237,1,50,37890740,1.106293201446533,923,0.09249639511108301
1,bst1_100.zok,29.851336240768433,1,100,79013061,2.112735748291015,923,0.083226203918457
6,bst1_150.zok,55.17842698097229,1,150,120430197,2.5909359455108643,923,0.07679581642150801
5,bst1_200.zok,95.06152105331421,1,200,165813257,3.6712806224823,923,0.11547231674194301
2,bst1_250.zok,144.70633792877197,1,250,217444299,4.688368797302246,923,0.08072566986083901
4,bst1_300.zok,207.68381142616272,1,300,267328964,5.49022650718689,923,0.073979377746582
0,bst2_10.zok,3.472290992736816,2,10,16976999,0.518216133117675,923,0.076841831207275
6,bst2_20.zok,7.707383394241333,2,20,29576933,0.7823271751403801,923,0.10754156112670801
7,bst2_50.zok,24.896341800689697,2,50,68489213,1.569476842880249,923,0.07847118377685501
5,bst2_100.zok,73.54532766342163,2,100,134895136,3.342484474182129,923,0.089086294174194
1,bst2_150.zok,139.47192478179932,2,150,205163373,4.776080131530762,923,0.084671735763549
2,bst2_200.zok,260.79513478279114,2,200,270581017,5.941006898880005,923,0.083714485168457
4,bst2_250.zok,506.7186977863312,2,250,341736819,7.851598024368286,923,0.08765387535095201
3,bst2_300.zok,522.7063827514648,2,300,418338554,8.66945505142212,923,0.116555213928222
6,bst3_10.zok,10.302874326705933,3,10,43427990,1.100180149078369,923,0.09491944313049301
1,bst3_20.zok,23.727048873901367,3,20,80547702,2.005451679229736,923,0.081251859664916
5,bst3_50.zok,101.20399284362793,3,50,194198552,4.786916971206665,923,0.08487987518310501
7,bst3_100.zok,345.0824999809265,3,100,399924348,8.782179594039917,923,0.08704113960266101
3,bst3_150.zok,740.3778285980225,3,150,608131848,12.55021357536316,923,0.094364404678344
2,bst3_200.zok,1381.345823764801,3,200,828631363,19.130377054214478,923,0.088063240051269
0,bst3_250.zok,2130.9917476177216,3,250,1059073266,23.828459978103638,923,0.08759903907775801
4,bst3_300.zok,3098.1534991264343,3,300,1292866335,26.832027435302734,923,0.08317375183105401
0,bst4_10_no_use_xtra_features.zok,35.94999814033508,4,10,77732861,1.904192924499511,923,0.056941747665405
1,bst4_20_no_use_xtra_features.zok,105.21726131439209,4,20,144230866,3.519804716110229,923,0.057610273361206006
3,bst4_50_no_use_xtra_features.zok,498.95776867866516,4,50,340950281,8.061814785003662,923,0.05726432800292901
4,bst4_100_no_use_xtra_features.zok,1793.1950190067291,4,100,675247453,15.2191743850708,923,0.060669660568237006
2,bst4_150_no_use_xtra_features.zok,3925.460792541504,4,150,1026943605,24.104248523712158,923,0.058376550674438005
0,bst4_200_no_use_xtra_features.zok,7174.652993917465,4,200,1413500002,33.265918493270874,923,0.057932853698730004
0,bst5_10_no_use_xtra_features.zok,4.576858282089233,5,10,21742204,0.700096845626831,923,0.078142642974853
1,bst5_20_no_use_xtra_features.zok,9.98778486251831,5,20,38370980,1.2850861549377441,923,0.09328436851501401
5,bst5_50_no_use_xtra_features.zok,32.108089447021484,5,50,84885372,1.727193832397461,923,0.08101797103881801
7,bst5_100_no_use_xtra_features.zok,96.03078365325928,5,100,164074129,3.252224206924438,923,0.084388256072998
6,bst5_150_no_use_xtra_features.zok,208.62260913848877,5,150,240878037,4.715731143951416,923,0.077842712402343
4,bst5_200_no_use_xtra_features.zok,319.6498053073883,5,200,324240283,6.107172012329102,923,0.075233697891235
3,bst5_250_no_use_xtra_features.zok,523.170802116394,5,250,412883387,7.73889946937561,923,0.080567359924316
2,bst5_300_no_use_xtra_features.zok,743.9533905982971,5,300,508436882,9.511581420898438,923,0.07983374595642001
